epoch, time    , train/box_loss, train/cls_loss, train/dfl_loss, metrics/precision(B), metrics/recall(B), metrics/mAP50(B), metrics/mAP50-95(B), val/box_loss, val/cls_loss, val/dfl_loss, lr/pg0     , lr/pg1     , lr/pg2
    1,  2060.77,        2.03111,        2.56649,        1.80691,              0.24185,           0.1922 ,          0.16069,             0.06192,      2.06507,      2.586  ,      2.13076, 0.000475582, 0.000475582, 0.000475582
    2,  2958.7 ,        2.06298,        2.36109,        1.87101,              0.57828,           0.19475,          0.17697,             0.06238,      2.08292,      2.41208,      2.18055, 0.000942491, 0.000942491, 0.000942491
    3,  3935.98,        2.04279,        2.33136,        1.85014,              0.31965,           0.24612,          0.232  ,             0.09802,      1.9462 ,      2.47734,      1.99998, 0.00139997 , 0.00139997 , 0.00139997
    4,  4774.99,        1.98894,        2.25362,        1.82202,              0.44238,           0.29559,          0.33539,             0.13713,      1.88985,      2.1344 ,      1.93843, 0.00138656 , 0.00138656 , 0.00138656
    5,  5751.44,        1.92368,        2.168  ,        1.77889,              0.43354,           0.39029,          0.37703,             0.1563 ,      1.90538,      1.8416 ,      2.00245, 0.00137241 , 0.00137241 , 0.00137241
    6,  8478.23,        1.90735,        2.08566,        1.75159,              0.42032,           0.39163,          0.39729,             0.1612 ,      1.87465,      1.75471,      1.89787, 0.00135826 , 0.00135826 , 0.00135826
    7, 11251.2 ,        1.88332,        2.02254,        1.73986,              0.45332,           0.458  ,          0.44094,             0.18543,      1.78354,      1.65368,      1.82836, 0.00134412 , 0.00134412 , 0.00134412
